part name,description,price,amount,running total,link
xiao nrf,micrcontroller with bluetooth,7.49,1,7.49,"https://www.aliexpress.com/item/1005007430861679.html?pdp_ext_f=%7B""sku_id""%3A""12000040728269183""%7D&sourceType=1&spm=a2g0o.wish-manage-home.0.0"
2 pin pogo,connect 2 parts together & charge,1.84,1,9.33,"https://www.aliexpress.com/item/1005005284441979.html?pdp_ext_f=%7B""sku_id""%3A""12000046387602851""%7D&sourceType=1&spm=a2g0o.wish-manage-home.0.0"
msk12c02,turn thing on/off,1.45,1,10.78,"https://www.aliexpress.com/item/1005006710234187.html?pdp_ext_f=%7B""sku_id""%3A""12000038067813406""%7D&sourceType=1&spm=a2g0o.wish-manage-home.0.0"
"weact 1.54"" ","eink 1.54"" display",5.51,1,16.29,"https://www.aliexpress.com/item/1005006291142235.html?pdp_ext_f=%7B""sku_id""%3A""12000037370742806""%7D&sourceType=1&spm=a2g0o.wish-manage-home.0.0"
sk6812,status light,2.79,1,19.08,"https://www.aliexpress.com/item/1005005634077288.html?pdp_ext_f=%7B""sku_id""%3A""12000033825393948""%7D&sourceType=1&spm=a2g0o.wish-manage-home.0.0"
skrtlae010,buttons,4.89,1,23.97,"https://www.aliexpress.com/item/1005009550831108.html?pdp_ext_f=%7B""sku_id""%3A""12000049440672368""%7D&sourceType=1&spm=a2g0o.wish-manage-home.0.0"
battery,500 mah,3.74,1,27.71,"https://www.aliexpress.com/item/1005008218024646.html?pdp_ext_f=%7B""sku_id""%3A""12000044269020508""%7D&sourceType=1&spm=a2g0o.wish-manage-home.0.0"
ph2.0 connector,make battery replacable,0,1,27.71,already owned
m3 screws,keep case together,0,4,27.71,already owned
m3 heat insert,keep case together,0,4,27.71,already owned
PCB,PCB,0.63,1,28.34,
,,,,,
GBP,,,,28.34,
USD,,,,38.8258,
